simplified_color,simplified_sex,intake_age,simplified_condition,simplified_type,simplified_breed,simplified_size,days_in_shelter
BRN_TABBY,MALE,0,OTHER,STRAY,DOMESTIC_MED_OR_LONG_HAIR,KITTN,46
MIX,MALE,0,HEALTHY,STRAY,OTHER,SMALL,27
BLACK_N_WHITE,FEMALE,2,OTHER,STRAY,DOMESTIC_SHORT_HAIR,SMALL,47
GRAY_TABBY,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC_SHORT_HAIR,KITTN,40
BLACK,FEMALE,0,OTHER,STRAY,DOMESTIC_MED_OR_LONG_HAIR,KITTN,80
BLACK,FEMALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,SMALL,57
BRN_TABBY,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC_SHORT_HAIR,KITTN,30
GRAY_TABBY,MALE,0,OTHER,STRAY,DOMESTIC_MED_OR_LONG_HAIR,KITTN,86
BRN_TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC_MED_OR_LONG_HAIR,SMALL,32
BRN_TABBY,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC_MED_OR_LONG_HAIR,KITTN,43
BRN_TABBY,FEMALE,0,HEALTHY,OWNER SURRENDER,OTHER,SMALL,52
BRN_TABBY,MALE,0,OTHER,STRAY,DOMESTIC_SHORT_HAIR,KITTN,50
BRN_TABBY,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC_MED_OR_LONG_HAIR,KITTN,45
GRAY,FEMALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,KITTN,59
BLACK,MALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,KITTN,59
OTHER,FEMALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,SMALL,31
TORTIE,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC_MED_OR_LONG_HAIR,KITTN,48
BRN_TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,KITTN,28
BRN_TABBY,MALE,0,OTHER,STRAY,DOMESTIC_SHORT_HAIR,KITTN,53
ORG_TABBY,FEMALE,0,OTHER,STRAY,DOMESTIC_SHORT_HAIR,KITTN,77
ORG_TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,SMALL,24
MIX,FEMALE,2,HEALTHY,OTHER,DOMESTIC_MED_OR_LONG_HAIR,SMALL,10
GRAY_N_WHITE,FEMALE,0,OTHER,STRAY,DOMESTIC_SHORT_HAIR,SMALL,43
BRN_TABBY,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC_SHORT_HAIR,SMALL,52
ORG_TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,KITTN,74
BRN_TABBY,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC_SHORT_HAIR,SMALL,56
BRN_TABBY,MALE,0,OTHER,STRAY,DOMESTIC_SHORT_HAIR,KITTN,47
BLACK_N_WHITE,MALE,4,ILL,STRAY,DOMESTIC_SHORT_HAIR,SMALL,17
BLACK,FEMALE,1,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,SMALL,35
GRAY_N_WHITE,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC_SHORT_HAIR,KITTN,16
BLACK_N_WHITE,MALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,KITTN,29
OTHER_TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC_MED_OR_LONG_HAIR,KITTN,8
TORTIE,FEMALE,0,ILL,STRAY,DOMESTIC_MED_OR_LONG_HAIR,KITTN,56
BRN_TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,KITTN,4
BRN_TABBY,FEMALE,1,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,SMALL,12
TORTIE,FEMALE,0,HEALTHY,OTHER,DOMESTIC_SHORT_HAIR,KITTN,28
MIX,MALE,4,OTHER,OTHER,DOMESTIC_MED_OR_LONG_HAIR,SMALL,71
GRAY_N_WHITE,FEMALE,0,HEALTHY,STRAY,DOMESTIC_MED_OR_LONG_HAIR,KITTN,15
MIX,FEMALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,KITTN,24
MIX,MALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,KITTN,22
BLACK_N_WHITE,MALE,4,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,OTHER,46
GRAY_TABBY,FEMALE,2,ILL,STRAY,DOMESTIC_SHORT_HAIR,SMALL,58
BRN_TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,SMALL,19
MIX,FEMALE,1,ILL,STRAY,DOMESTIC_MED_OR_LONG_HAIR,SMALL,63
BLACK,MALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,SMALL,31
BRN_TABBY,MALE,0,ILL,STRAY,DOMESTIC_SHORT_HAIR,KITTN,62
BLACK,MALE,1,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,SMALL,17
BRN_TABBY,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC_SHORT_HAIR,KITTN,46
ORG_TABBY,MALE,0,ILL,STRAY,DOMESTIC_SHORT_HAIR,KITTN,25
MIX,MALE,1,HEALTHY,STRAY,OTHER,SMALL,20
GRAY_TABBY,MALE,0,ILL,OTHER,DOMESTIC_SHORT_HAIR,KITTN,78
BLACK_N_WHITE,MALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,SMALL,18
BLACK,FEMALE,0,ILL,STRAY,DOMESTIC_SHORT_HAIR,KITTN,17
TORTIE,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC_SHORT_HAIR,KITTN,14
BRN_TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,KITTN,9
BLACK_N_WHITE,MALE,9,ILL,STRAY,DOMESTIC_MED_OR_LONG_HAIR,SMALL,18
BRN_TABBY,FEMALE,1,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,SMALL,33
