Type,Breed,Color,Sex,Size,Days in Shelter,Intake Type,Outcome Type,Intake Condition,Age,Encoded Color,Encoded Breed,Encoded Intake Condition,Encoded Size,Encoded Sex
CAT,DOMESTIC SH,ORG TABBY,Spayed,KITTN,74,STRAY,ADOPTION,HEALTHY,0,6,2,0,0,3
CAT,DOMESTIC SH,BRN TABBY/TORTIE,Spayed,SMALL,56,OWNER SURRENDER,ADOPTION,HEALTHY,0,6,2,0,3,3
CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,47,STRAY,ADOPTION,UNKNOWN,0,6,2,3,0,2
CAT,DOMESTIC SH,WHITE/BLACK,Neutered,SMALL,17,STRAY,ADOPTION,TREATABLE/MANAGEABLE,4,5,2,1,3,2
CAT,DOMESTIC SH,BLACK,Spayed,SMALL,35,STRAY,ADOPTION,HEALTHY,2,0,2,0,3,3
CAT,DOMESTIC SH,GRAY/WHITE,Spayed,KITTN,16,OWNER SURRENDER,ADOPTION,HEALTHY,9,5,2,0,0,3
CAT,DOMESTIC SH,BLACK/WHITE,Neutered,KITTN,29,STRAY,ADOPTION,HEALTHY,8,5,2,0,0,2
CAT,DOMESTIC MH,BLK TABBY,Neutered,KITTN,8,STRAY,ADOPTION,HEALTHY,6,6,1,0,0,2
CAT,DOMESTIC LH,TORTIE,Spayed,KITTN,56,STRAY,ADOPTION,TREATABLE/REHAB,4,5,0,2,0,3
CAT,DOMESTIC SH,BRN TABBY,Spayed,KITTN,4,STRAY,ADOPTION,HEALTHY,9,6,2,0,0,3
