intake_type,intake_condition,sex_intake,age_intake,breed,color,sex_outcome,age_outcome,stay_length
3,7,0,12,2,0,3,24,38
3,7,1,24,1,2,2,48,912
3,7,1,36,2,0,2,24,55
3,7,3,48,2,2,3,24,45
1,7,1,36,1,0,2,36,23
1,7,3,36,0,0,3,36,1
3,7,1,12,2,1,2,24,41
3,3,2,72,3,5,2,120,105
3,7,0,12,1,1,0,24,35
3,7,0,12,2,2,3,12,45
1,7,0,36,2,7,3,36,75
3,7,0,24,2,0,3,24,11
1,7,3,12,2,6,3,12,6
1,7,2,72,2,0,2,72,16
3,7,3,24,2,6,3,24,26
1,7,2,12,2,0,2,12,95
3,7,1,48,2,4,2,24,41
1,7,3,84,3,7,3,12,353
3,7,3,48,2,4,3,48,9
3,7,0,24,2,2,0,24,4
3,7,2,72,3,5,2,72,62
1,7,1,12,2,8,2,24,23
3,7,1,12,3,5,2,24,45
1,7,0,24,2,2,3,24,1
3,7,0,36,1,3,3,36,3
3,7,0,24,2,3,0,36,4
3,7,3,60,2,6,3,72,5
1,7,0,36,0,2,3,36,2
1,7,0,60,2,1,3,72,14
1,7,2,60,3,2,2,60,1
3,7,1,12,2,2,2,36,47
1,7,3,96,2,2,3,96,47
3,7,1,12,2,4,2,36,45
1,7,2,144,2,2,2,144,48
3,7,1,12,0,2,2,24,27
3,7,0,12,2,0,3,12,72
1,7,3,24,0,0,3,24,10
3,7,0,12,2,2,3,12,52
3,8,0,0,2,7,3,72,199
1,7,3,72,2,1,3,72,82
1,7,0,12,2,7,3,36,56
3,7,0,12,2,6,3,24,22
1,7,0,60,2,2,3,24,37
1,7,2,84,2,0,2,84,67
1,7,2,36,2,2,2,48,143
1,7,2,72,2,2,2,108,1372
1,7,3,132,2,3,3,132,27
3,7,1,12,2,0,2,24,35
3,7,0,48,1,0,3,24,44
1,7,3,24,2,0,3,24,37
1,7,0,48,2,1,3,48,5
3,7,1,12,1,1,2,24,4
3,11,1,36,1,0,2,24,42
3,7,1,12,1,8,2,48,79
1,7,0,108,2,7,3,108,7
3,7,0,36,2,2,3,24,55
3,7,1,12,2,5,2,60,127
3,7,1,48,1,1,2,24,47
3,7,0,12,2,0,3,24,35
3,7,1,12,2,0,1,24,30
3,11,1,12,2,2,2,24,35
3,7,0,12,3,5,3,24,3
3,7,0,12,2,4,3,24,45
3,7,0,12,2,1,3,24,27
1,7,0,24,1,7,3,24,16
1,7,1,60,2,0,2,60,8
3,7,0,12,2,3,3,24,34
3,7,0,12,2,4,3,24,27
1,7,3,84,0,2,3,84,56
3,7,3,24,2,5,3,24,12
3,7,0,12,2,2,3,12,8
3,8,1,36,2,2,2,24,49
3,7,0,36,3,0,3,36,4
3,11,0,48,2,3,3,12,30
3,7,1,12,2,1,2,36,41
3,7,0,48,2,0,0,12,25
3,7,1,12,1,2,2,24,26
3,7,1,48,2,2,2,84,210
1,7,1,24,3,1,2,24,2
3,7,0,12,2,8,3,36,67
3,7,0,72,2,0,3,72,5
1,7,3,144,2,3,3,144,73
3,7,0,24,2,1,3,36,16
1,7,1,36,1,5,2,36,14
3,7,0,12,2,3,3,24,43
1,7,0,24,3,5,0,24,1
3,7,1,12,1,0,2,24,62
3,8,0,48,2,0,3,24,53
3,7,0,24,2,0,3,48,40
3,7,0,12,2,3,3,24,43
3,7,0,12,0,0,3,84,175
3,7,0,24,1,2,3,36,12
3,11,1,12,2,0,2,36,40
3,7,0,12,3,0,3,24,15
1,7,0,12,3,0,3,12,32
3,7,0,36,2,1,3,48,31
1,7,0,84,2,2,3,72,2260
3,3,0,12,2,2,3,12,31
3,7,1,24,2,4,2,24,7
3,7,1,12,2,1,2,24,21
3,7,0,12,3,5,3,24,25
3,7,0,12,2,6,0,12,15
3,7,1,12,2,2,2,24,17
3,7,2,24,2,1,2,24,182
1,7,0,48,2,1,3,24,44
3,7,0,48,2,0,3,48,95
3,11,0,48,2,1,3,24,53
1,7,3,36,2,3,3,36,44
3,7,1,12,1,0,2,24,38
3,7,0,12,2,3,3,12,111
3,7,1,12,2,2,2,24,6
3,7,0,12,2,2,3,24,40
3,7,0,12,2,2,3,24,21
3,11,0,12,2,3,3,12,48
3,7,0,36,2,1,3,36,81
3,11,3,120,3,1,3,120,88
