intake_type,intake_condition,sex_intake,breed,CoatColor,CoatPattern,age_intake_months,stay_length,intake_type_encoded,intake_condition_encoded,sex_intake_encoded,breed_encoded,CoatColor_encoded,CoatPattern_encoded
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Black,Solid,1,20,1,3,0,1,0,1
Stray,Normal,Female,Domestic_Shorthair_Mix,Blue,Tabby,0,96,2,3,0,1,2,2
Stray,Sick,Female,Domestic_Shorthair_Mix,Tortie_or_Tortie_mix,Solid,1,61,2,7,0,1,8,1
Stray,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,2,9,2,3,1,1,3,2
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,2,17,1,3,0,1,3,2
Stray,Normal,Male,Domestic_Shorthair,Other,Other,1,4,2,3,1,0,6,0
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Black,Solid,156,27,1,3,0,1,0,1
Stray,Normal,Female,Domestic_Shorthair_Mix,Black,Solid,1,62,2,3,0,1,0,1
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Black_N_White,Solid,180,32,1,3,1,1,1,1
Stray,Normal,Female,Domestic_Shorthair_Mix,Black,Solid,1,11,2,3,0,1,0,1
Stray,Normal,Female,Domestic_Shorthair_Mix,White_Mix,Solid,1,5,2,3,0,1,9,1
Stray,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,4,19,2,3,1,1,5,2
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,12,8,1,3,1,1,3,2
Stray,Normal,Male,Domestic_Shorthair_Mix,Blue,Tabby,1,75,2,3,1,1,2,2
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Black,Solid,12,11,1,3,1,1,0,1
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,White_Mix,Solid,108,44,1,3,0,1,9,1
