intake_type,intake_condition,sex_intake,breed,CoatColor,CoatPattern,age_intake_months,stay_length
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Black_N_White,Solid,1,40
Stray,Normal,Female,Domestic_Shorthair_Mix,Black_N_White,Solid,1,75
Stray,Normal,Female,Other,Blue,Other,0,56
Stray,Normal,Female,Domestic_Shorthair_Mix,Black,Solid,4,4
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Black_N_White,Solid,3,14
Stray,Normal,Male,Other,Other,Other,1,5
Stray,Normal,Male,Other,White_Mix,Solid,2,6
Stray,Normal,Female,Other,Other,Tabby,1,49
Stray,Normal,Female,Domestic_Shorthair_Mix,Blue,Tabby,0,79
Stray,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,0,88
Stray,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,72,15
Stray,Injured,Female,Domestic_Shorthair_Mix,Brown,Tabby,5,9
Stray,Normal,Male,Other,Blue,Tabby,1,26
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,1,52
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,3,30
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Black,Solid,5,10
Stray,Normal,Male,Domestic_Shorthair_Mix,Black_N_White,Solid,0,51
Stray,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,12,13
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Torbie_or_Torbie_mix,Solid,84,7
Stray,Normal,Male,Domestic_Shorthair_Mix,Black,Solid,1,6
Stray,Normal,Male,Domestic_Shorthair_Mix,Other,Tabby,0,70
Stray,Normal,Male,Other,Black,Solid,1,52
Stray,Normal,Female,Other,Brown,Tabby,1,7
Owner_Surrender,Normal,Female,Other,Calico_or_Calico_mix,Solid,60,35
Stray,Normal,Female,Other,Blue,Tabby,1,34
Stray,Normal,Female,Other,Calico_or_Calico_mix,Solid,1,40
Stray,Normal,Female,Domestic_Shorthair_Mix,Black,Solid,1,12
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,1,73
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,0,73
Stray,Normal,Female,Other,Black,Solid,1,57
Owner_Surrender,Normal,Female,Other,Black,Solid,2,4
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,24,9
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,1,107
Stray,Normal,Male,Other,Other,Other,48,12
Stray,Normal,Male,Other,Orange,Tabby,1,41
Stray,Normal,Female,Domestic_Shorthair_Mix,Black_N_White,Solid,1,90
Stray,Nursing,Female,Domestic_Shorthair_Mix,Tortie_or_Tortie_mix,Solid,1,64
Owner_Surrender,Normal,Female,Other,Calico_or_Calico_mix,Solid,60,15
Stray,Normal,Male,Other,Orange,Tabby,2,5
Stray,Normal,Female,Domestic_Shorthair_Mix,Orange,Tabby,1,17
Owner_Surrender,Normal,Female,Other,Orange,Tabby,1,4
Stray,Normal,Female,Other,Black,Solid,2,3
Stray,Normal,Female,Domestic_Shorthair_Mix,White_Mix,Solid,2,13
Stray,Normal,Female,Other,Black,Solid,1,68
Stray,Normal,Female,Other,Black_N_White,Solid,5,5
Stray,Injured,Female,Other,Torbie_or_Torbie_mix,Solid,1,30
Stray,Sick,Male,Other,Brown,Tabby,1,15
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,White_Mix,Solid,11,3
Stray,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,1,34
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Other,Tabby,2,3
Stray,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,1,103
Stray,Normal,Female,Other,Brown,Tabby,1,9
Stray,Normal,Male,Other,Black,Solid,1,6
Stray,Normal,Female,Domestic_Shorthair_Mix,Torbie_or_Torbie_mix,Solid,2,3
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Tortie_or_Tortie_mix,Solid,2,6
Stray,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,1,41
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,2,6
Stray,Normal,Female,Domestic_Shorthair_Mix,Torbie_or_Torbie_mix,Solid,12,36
Stray,Normal,Male,Domestic_Shorthair_Mix,Black,Solid,2,7
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Calico_or_Calico_mix,Solid,24,16
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,1,69
Stray,Normal,Female,Other,Brown,Tabby,1,48
Stray,Injured,Male,Domestic_Shorthair_Mix,Black_N_White,Solid,60,23
Stray,Normal,Female,Domestic_Shorthair_Mix,Tortie_or_Tortie_mix,Solid,60,19
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Torbie_or_Torbie_mix,Solid,7,3
Stray,Normal,Male,Domestic_Shorthair_Mix,Black,Solid,1,31
Stray,Normal,Male,Domestic_Shorthair_Mix,Black_N_White,Solid,1,38
Other,Normal,Male,Domestic_Shorthair_Mix,Black_N_White,Solid,1,46
Stray,Normal,Male,Other,Brown,Tabby,1,6
Stray,Normal,Female,Other,Blue,Solid,1,45
