intake_age,days_stayed,simplified_color_gray,simplified_color_other,simplified_color_tabby,simplified_color_white,simplified_sex_male,simplified_condition_injured,simplified_condition_normal,simplified_condition_other,simplified_condition_under_weight,simplified_type_owner_surrender,simplified_type_stray
0,103,0,0,0,0,1,0,1,0,0,0,1
0,3,0,0,1,0,0,0,0,1,0,1,0
2,23,0,0,0,0,0,0,0,1,0,0,1
0,86,0,0,1,0,0,0,1,0,0,0,1
0,25,0,0,0,0,1,0,1,0,0,0,1
0,9,0,0,0,0,1,0,0,0,0,0,1
0,7,0,0,1,0,0,0,1,0,0,0,1
4,16,0,0,0,0,0,0,1,0,0,0,1
0,55,0,0,0,0,0,0,0,0,1,0,1
1,15,0,1,0,0,0,0,1,0,0,0,1
0,46,0,0,1,0,1,0,0,0,1,0,1
1,6,0,1,0,0,0,0,1,0,0,0,1
0,25,0,0,0,0,0,0,1,0,0,0,0
0,27,0,1,0,0,0,0,0,0,0,0,1
0,1,0,1,0,0,1,0,1,0,0,0,1
0,16,0,0,1,0,1,0,1,0,0,0,1
0,7,0,0,1,0,1,0,1,0,0,0,1
0,11,0,1,0,0,0,0,1,0,0,0,1
0,21,0,0,0,1,0,0,1,0,0,0,1
0,4,1,0,0,0,1,0,1,0,0,0,1
0,66,0,1,0,0,0,0,1,0,0,0,1
1,65,0,1,0,0,0,0,1,0,0,0,1
2,20,0,0,0,1,0,0,1,0,0,1,0
6,4,0,0,1,0,1,0,1,0,0,0,1
0,65,0,0,1,0,1,0,1,0,0,0,1
0,7,0,0,0,1,0,0,1,0,0,0,1
0,7,0,0,0,1,1,0,1,0,0,0,1
1,19,0,1,0,0,1,0,0,0,0,0,1
6,61,0,1,0,0,1,0,1,0,0,0,0
5,24,0,0,0,0,1,0,0,0,0,0,1
4,16,1,0,0,0,0,0,1,0,0,1,0
0,26,0,1,0,0,0,1,0,0,0,0,1
1,13,0,0,0,1,0,0,1,0,0,0,1
4,15,1,0,0,0,1,1,0,0,0,0,1
