age,days_stayed,simplified_color_black,simplified_color_gray,simplified_color_other,simplified_color_tabby,simplified_color_white,simplified_sex_female,simplified_sex_male,simplified_condition_ill_mild,simplified_condition_ill_severe,simplified_condition_injured,simplified_condition_normal,simplified_condition_other,simplified_condition_under_weight,simplified_type_other,simplified_type_owner_surrender,simplified_type_stray
4,47,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
4,28,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
4,13,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
6,275,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1
4,275,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
4,275,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1
4,36,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1
4,21,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
4,82,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
4,91,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
4,32,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
7,34,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
4,81,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
4,112,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
4,76,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
7,28,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
4,135,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
4,149,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
6,20,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
4,31,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
4,75,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
4,175,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
4,7,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
0,22,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
0,25,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
1,7,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
0,34,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
1,18,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
13,102,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
13,56,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
13,56,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
9,45,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
9,7,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
9,170,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
8,131,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
9,137,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
14,229,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
12,276,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
14,80,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
7,9,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
9,23,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
7,7,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
